device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,payload_len,network_delay_s
11268,120,2025-12-12 17:40:59.839060,2025-12-12 17:41:01.393201,0,0,61,1.554141
11268,121,2025-12-12 17:40:59.940384,2025-12-12 17:41:01.492493,0,0,61,1.552109
11268,122,2025-12-12 17:41:00.041195,2025-12-12 17:41:01.594005,0,0,61,1.55281
11268,123,2025-12-12 17:41:00.141648,2025-12-12 17:41:01.693533,0,0,61,1.551885
11268,124,2025-12-12 17:41:00.242448,2025-12-12 17:41:01.794621,0,0,61,1.552173
11268,125,2025-12-12 17:41:00.343046,2025-12-12 17:41:01.895434,0,0,60,1.552388
11268,126,2025-12-12 17:41:00.443945,2025-12-12 17:41:01.995995,0,0,61,1.55205
11268,127,2025-12-12 17:41:00.544744,2025-12-12 17:41:02.096377,0,0,61,1.551633
11268,128,2025-12-12 17:41:00.645261,2025-12-12 17:41:02.198040,0,0,60,1.552779
11268,129,2025-12-12 17:41:00.745750,2025-12-12 17:41:02.298328,0,0,61,1.552578
11268,130,2025-12-12 17:41:00.846231,2025-12-12 17:41:02.397930,0,0,61,1.551699
11268,131,2025-12-12 17:41:00.946752,2025-12-12 17:41:02.499172,0,0,61,1.55242
11268,132,2025-12-12 17:41:01.047250,2025-12-12 17:41:02.598999,0,0,61,1.551749
11268,133,2025-12-12 17:41:01.147768,2025-12-12 17:41:02.699212,0,0,61,1.551444
11268,134,2025-12-12 17:41:01.248221,2025-12-12 17:41:02.800569,0,0,61,1.552348
11268,135,2025-12-12 17:41:01.348672,2025-12-12 17:41:02.900625,0,0,61,1.551953
11268,136,2025-12-12 17:41:01.449127,2025-12-12 17:41:03.001320,0,0,61,1.552193
11268,137,2025-12-12 17:41:01.549670,2025-12-12 17:41:03.101721,0,0,61,1.552051
11268,138,2025-12-12 17:41:01.650207,2025-12-12 17:41:03.202212,0,0,61,1.552005
11268,139,2025-12-12 17:41:01.751012,2025-12-12 17:41:03.302932,0,0,61,1.55192
11268,140,2025-12-12 17:41:01.851517,2025-12-12 17:41:03.404536,0,0,61,1.553019
11268,141,2025-12-12 17:41:01.951976,2025-12-12 17:41:03.506431,0,0,61,1.554455
11268,142,2025-12-12 17:41:02.052403,2025-12-12 17:41:03.604444,0,0,61,1.552041
11268,143,2025-12-12 17:41:02.152848,2025-12-12 17:41:03.705352,0,0,61,1.552504
11268,144,2025-12-12 17:41:02.253380,2025-12-12 17:41:03.805402,0,0,61,1.552022
11268,145,2025-12-12 17:41:02.354242,2025-12-12 17:41:03.906288,0,0,61,1.552046
11268,146,2025-12-12 17:41:02.454673,2025-12-12 17:41:04.007426,0,0,61,1.552753
11268,147,2025-12-12 17:41:02.555102,2025-12-12 17:41:04.107253,0,0,61,1.552151
11268,148,2025-12-12 17:41:02.656078,2025-12-12 17:41:04.215108,0,0,61,1.55903
11268,149,2025-12-12 17:41:02.756670,2025-12-12 17:41:04.311368,0,0,61,1.554698
11268,150,2025-12-12 17:41:02.857579,2025-12-12 17:41:04.410079,0,0,61,1.5525
11268,151,2025-12-12 17:41:02.958326,2025-12-12 17:41:04.529696,0,0,61,1.57137
11268,152,2025-12-12 17:41:03.058951,2025-12-12 17:41:04.611661,0,0,61,1.55271
11268,153,2025-12-12 17:41:03.159398,2025-12-12 17:41:04.711242,0,0,61,1.551844
11268,154,2025-12-12 17:41:03.259840,2025-12-12 17:41:04.812690,0,0,61,1.55285
11268,155,2025-12-12 17:41:03.360307,2025-12-12 17:41:04.912556,0,0,61,1.552249
11268,156,2025-12-12 17:41:03.460751,2025-12-12 17:41:05.013137,0,0,61,1.552386
11268,157,2025-12-12 17:41:03.561207,2025-12-12 17:41:05.115298,0,0,61,1.554091
11268,158,2025-12-12 17:41:03.661688,2025-12-12 17:41:05.214255,0,0,61,1.552567
11268,159,2025-12-12 17:41:03.762215,2025-12-12 17:41:05.316280,0,0,61,1.554065
11268,160,2025-12-12 17:41:03.862715,2025-12-12 17:41:05.418726,0,0,61,1.556011
11268,161,2025-12-12 17:41:03.963190,2025-12-12 17:41:05.519692,0,0,61,1.556502
11268,162,2025-12-12 17:41:04.063697,2025-12-12 17:41:05.618585,0,0,61,1.554888
11268,163,2025-12-12 17:41:04.164177,2025-12-12 17:41:05.719279,0,0,60,1.555102
11268,164,2025-12-12 17:41:04.264635,2025-12-12 17:41:05.819355,0,0,61,1.55472
11268,165,2025-12-12 17:41:04.365116,2025-12-12 17:41:05.921094,0,0,61,1.555978
11268,166,2025-12-12 17:41:04.465583,2025-12-12 17:41:06.020021,0,0,61,1.554438
11268,167,2025-12-12 17:41:04.566042,2025-12-12 17:41:06.119368,0,0,60,1.553326
11268,168,2025-12-12 17:41:04.666547,2025-12-12 17:41:06.219714,0,0,60,1.553167
11268,169,2025-12-12 17:41:04.766996,2025-12-12 17:41:06.320271,0,0,61,1.553275
11268,170,2025-12-12 17:41:04.867439,2025-12-12 17:41:06.419647,0,0,61,1.552208
11268,171,2025-12-12 17:41:04.967944,2025-12-12 17:41:06.520083,0,0,61,1.552139
11268,172,2025-12-12 17:41:05.068434,2025-12-12 17:41:06.620276,0,0,61,1.551842
11268,173,2025-12-12 17:41:05.168897,2025-12-12 17:41:06.730050,0,0,61,1.561153
11268,174,2025-12-12 17:41:05.269324,2025-12-12 17:41:06.834058,0,0,61,1.564734
11268,175,2025-12-12 17:41:05.369773,2025-12-12 17:41:06.929594,0,0,61,1.559821
11268,176,2025-12-12 17:41:05.470196,2025-12-12 17:41:07.030467,0,0,61,1.560271
11268,177,2025-12-12 17:41:05.570949,2025-12-12 17:41:07.130155,0,0,61,1.559206
11268,178,2025-12-12 17:41:05.671401,2025-12-12 17:41:07.229891,0,0,61,1.55849
11268,179,2025-12-12 17:41:05.771985,2025-12-12 17:41:07.330337,0,0,61,1.558352
11268,180,2025-12-12 17:41:05.872683,2025-12-12 17:41:07.426218,0,0,60,1.553535
11268,181,2025-12-12 17:41:05.973920,2025-12-12 17:41:07.533626,0,0,61,1.559706
11268,182,2025-12-12 17:41:06.074292,2025-12-12 17:41:07.626649,0,0,61,1.552357
11268,183,2025-12-12 17:41:06.174798,2025-12-12 17:41:07.727580,0,0,61,1.552782
11268,184,2025-12-12 17:41:06.275289,2025-12-12 17:41:07.830022,0,0,61,1.554733
11268,185,2025-12-12 17:41:06.375747,2025-12-12 17:41:07.932518,0,0,61,1.556771
11268,186,2025-12-12 17:41:06.476241,2025-12-12 17:41:08.030342,0,0,61,1.554101
11268,187,2025-12-12 17:41:06.576763,2025-12-12 17:41:08.129767,0,0,60,1.553004
11268,188,2025-12-12 17:41:06.677307,2025-12-12 17:41:08.233725,0,0,61,1.556418
